transaction_id,customer_id,amount,transaction_date,transaction_type,channel,fraud_flag,merchant_category
TXN001,CUST001,250.50,2024-01-15,Purchase,ATM,0,Grocery
TXN002,CUST002,1500.00,2024-01-15,Transfer,Online,0,Transfer
TXN003,CUST003,75.25,2024-01-16,Purchase,POS,0,Restaurant
TXN004,CUST001,5000.00,2024-01-16,Withdrawal,ATM,1,Cash
TXN005,CUST004,125.75,2024-01-17,Purchase,Online,0,Shopping
TXN006,CUST005,300.00,2024-01-17,Purchase,POS,0,Gas
TXN007,CUST002,2500.00,2024-01-18,Transfer,Branch,0,Transfer
TXN008,CUST006,89.50,2024-01-18,Purchase,Online,0,Utilities
TXN009,CUST003,450.25,2024-01-19,Purchase,POS,0,Shopping
TXN010,CUST007,3000.00,2024-01-19,Withdrawal,ATM,1,Cash
TXN011,CUST008,175.00,2024-01-20,Purchase,Online,0,Entertainment
TXN012,CUST004,95.75,2024-01-20,Purchase,POS,0,Grocery
TXN013,CUST009,800.00,2024-01-21,Transfer,Online,0,Transfer
TXN014,CUST010,220.50,2024-01-21,Purchase,ATM,0,Gas
TXN015,CUST005,4500.00,2024-01-22,Withdrawal,Branch,1,Cash
TXN016,CUST011,65.25,2024-01-22,Purchase,POS,0,Restaurant
TXN017,CUST012,350.00,2024-01-23,Purchase,Online,0,Shopping
TXN018,CUST006,125.75,2024-01-23,Purchase,POS,0,Grocery
TXN019,CUST013,1200.00,2024-01-24,Transfer,Online,0,Transfer
TXN020,CUST014,85.50,2024-01-24,Purchase,ATM,0,Entertainment
TXN021,CUST015,2800.00,2024-01-25,Withdrawal,ATM,1,Cash
TXN022,CUST007,195.25,2024-01-25,Purchase,POS,0,Gas
TXN023,CUST016,275.00,2024-01-26,Purchase,Online,0,Utilities
TXN024,CUST017,145.75,2024-01-26,Purchase,POS,0,Restaurant
TXN025,CUST018,600.00,2024-01-27,Transfer,Branch,0,Transfer
TXN026,CUST008,320.50,2024-01-27,Purchase,Online,0,Shopping
TXN027,CUST019,75.25,2024-01-28,Purchase,POS,0,Grocery
TXN028,CUST020,3500.00,2024-01-28,Withdrawal,ATM,1,Cash
TXN029,CUST021,185.00,2024-01-29,Purchase,Online,0,Entertainment
TXN030,CUST011,95.75,2024-01-29,Purchase,POS,0,Gas
TXN031,CUST022,450.00,2024-01-30,Transfer,Online,0,Transfer
TXN032,CUST023,165.25,2024-01-30,Purchase,ATM,0,Restaurant
TXN033,CUST024,285.50,2024-01-31,Purchase,POS,0,Shopping
TXN034,CUST012,4200.00,2024-01-31,Withdrawal,Branch,1,Cash
TXN035,CUST025,125.75,2024-02-01,Purchase,Online,0,Utilities
TXN036,CUST026,235.00,2024-02-01,Purchase,POS,0,Grocery
TXN037,CUST027,850.25,2024-02-02,Transfer,Online,0,Transfer
TXN038,CUST013,195.50,2024-02-02,Purchase,ATM,0,Entertainment
TXN039,CUST028,375.75,2024-02-03,Purchase,POS,0,Gas
TXN040,CUST029,2900.00,2024-02-03,Withdrawal,ATM,1,Cash
